response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
814;1963;Female;More than 5 years;Administrative and Support;Single person;Metro;30%;50% - About half of my time;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat Negative;No;Somewhat worsened;Significantly improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Somewhat improved;Stayed about the same;Somewhat worsened;Somewhat improved;Not a barrier for me;Somewhat improved;Noisy work environment;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Somewhat agree;I知 10% more productive when working remotely
815;1982;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;30%;70%;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat Positive;Yes;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;Significantly worsened;Not a barrier for me;Somewhat improved;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Significantly improved;Difficulty collaborating with remote colleagues;Interruptions;Strongly agree;Somewhat agree;Strongly agree;I知 20% more productive when working remotely
816;2000;Male;More than 5 years;Wholesale Trade;Couple with no dependent children;Metro;30%;10%;Strongly disagree;Strongly agree;Somewhat disagree;Somewhat Positive;Yes;Not a barrier for me;Significantly worsened;Somewhat worsened;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat improved;Significantly worsened;Significantly improved;Not a barrier for me;NA;NA;Neither agree nor disagree;Strongly disagree;Somewhat agree;I知 30% more productive when working remotely
817;1973;Male;Between 1 and 5 years;Education and Training;Couple with dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Somewhat disagree;Strongly disagree;Strongly disagree;Strongly Negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly disagree;Strongly disagree;Strongly agree;I知 30% more productive when working remotely
818;1961;Male;More than 5 years;Financial and Insurance;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly disagree;Somewhat agree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Interruptions;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;My productivity is about same when I work remotely
819;1988;Female;More than 5 years;Manufacturing;Couple with dependent children;Metro;60%;50% - About half of my time;Somewhat agree;Somewhat agree;Somewhat agree;Strongly Positive;Yes;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Not a barrier for me;Somewhat improved;Not a barrier for me;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;NA;NA;Neither agree nor disagree;Somewhat agree;Somewhat agree;I知 10% less productive when working remotely
820;1980;Male;Between 1 and 5 years;Transport, Postal and Warehousing;Couple with no dependent children;Metro;Rarely or never;100% - All of my time;Strongly agree;Neither agree nor disagree;Somewhat disagree;Neither positive nor negative;Yes;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Noisy work environment;Difficulty collaborating with remote colleagues;Strongly agree;Somewhat agree;Strongly disagree;My productivity is about same when I work remotely
821;1972;Male;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;60%;100% - All of my time;Strongly agree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;No;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;My productivity is about same when I work remotely
822;1994;Male;Between 1 and 5 years;Professional, Scientific and Technical;Group household;Metro;10%;50% - About half of my time;Somewhat disagree;Strongly disagree;Somewhat agree;Neither positive nor negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
823;1993;Male;Between 1 and 5 years;Administrative and Support;Couple with no dependent children;Metro;70%;90%;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat Positive;No;Significantly improved;Somewhat worsened;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Somewhat improved;Stayed about the same;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Not a barrier for me;Significantly improved;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat disagree;I知 30% more productive when working remotely
824;1983;Female;Between 1 and 5 years;Wholesale Trade;Other one family household;Metro;80%;60%;Neither agree nor disagree;Strongly agree;Strongly agree;Somewhat Positive;No;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Lack of privacy;Interruptions;Somewhat agree;Neither agree nor disagree;Somewhat agree;I知 10% more productive when working remotely
825;1972;Male;More than 5 years;Accommodation and Food;Couple with dependent children;Metro;20%;20%;Somewhat disagree;Somewhat agree;Strongly agree;Somewhat Negative;No;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Significantly worsened;Significantly worsened;Significantly worsened;Somewhat improved;Significantly worsened;Significantly worsened;Somewhat worsened;Significantly worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat disagree;Somewhat disagree;Strongly agree;I知 20% less productive when working remotely
826;1963;Male;More than 5 years;Wholesale Trade;Single person;Metro;80%;50% - About half of my time;Strongly agree;Somewhat disagree;Strongly agree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Somewhat improved;Not a barrier for me;Somewhat worsened;Somewhat improved;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Somewhat improved;Somewhat improved;Significantly worsened;Somewhat worsened;Not a barrier for me;Somewhat improved;Lack of privacy;Difficulty collaborating with remote colleagues;Somewhat disagree;Strongly agree;Strongly agree;I知 30% more productive when working remotely
827;1965;Male;More than 5 years;Education and Training;Couple with no dependent children;Metro;70%;80%;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Significantly worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Lack of privacy;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;I知 40% more productive when working remotely
828;1981;Male;More than 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat disagree;Somewhat agree;Strongly Positive;No;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Not a barrier for me;Significantly improved;Significantly improved;Significantly improved;Noisy work environment;Interruptions;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
829;1965;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with no dependent children;Metro;90%;80%;Somewhat agree;Strongly disagree;Neither agree nor disagree;Neither positive nor negative;No;Not a barrier for me;Significantly improved;Stayed about the same;Somewhat improved;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 10% more productive when working remotely
830;1981;Male;Between 1 and 5 years;Transport, Postal and Warehousing;Couple with no dependent children;Metro;90%;100% - All of my time;Strongly agree;Somewhat agree;Somewhat agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Lack of privacy;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Strongly disagree;I知 50% more productive when working remotely (or more)
831;1970;Male;Between 1 and 5 years;Professional, Scientific and Technical;Single person;Regional;Rarely or never;I would not have preferred to work remotely;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Negative;Yes;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Significantly worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Somewhat improved;Somewhat worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Somewhat disagree;Strongly agree;I知 20% less productive when working remotely
832;1976;Male;More than 5 years;Information Media and Telecommunications;One parent family with dependent children;Metro;100% - I spent all of my time remote working;60%;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat Negative;No;Somewhat improved;Significantly improved;Somewhat improved;Significantly worsened;Somewhat worsened;Significantly worsened;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Significantly worsened;NA;NA;Somewhat disagree;Neither agree nor disagree;Strongly agree;My productivity is about same when I work remotely
833;1971;Male;Between 1 and 5 years;Retail Trade;Couple with no dependent children;Metro;80%;90%;Strongly agree;Neither agree nor disagree;Somewhat disagree;Strongly Positive;Yes;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;NA;NA;Somewhat agree;Somewhat disagree;Somewhat agree;I知 20% more productive when working remotely
834;1963;Female;More than 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;80%;100% - All of my time;Somewhat agree;Somewhat agree;Somewhat agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
835;1973;Male;Between 1 and 5 years;Information Media and Telecommunications;Couple with dependent children;Metro;70%;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;No;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
836;1976;Female;Between 1 and 5 years;Other Services;Group household;Metro;20%;40%;Strongly agree;Neither agree nor disagree;Somewhat agree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Noisy work environment;Strongly agree;Strongly agree;Strongly agree;I知 20% more productive when working remotely
837;1988;Female;Between 1 and 5 years;Information Media and Telecommunications;Single person;Metro;70%;100% - All of my time;Strongly agree;Neither agree nor disagree;Strongly agree;Strongly Positive;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Not a barrier for me;Somewhat worsened;Stayed about the same;Not a barrier for me;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
838;1970;Male;More than 5 years;Professional, Scientific and Technical;Single person;Metro;80%;100% - All of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;I知 10% more productive when working remotely
839;1968;Male;More than 5 years;Manufacturing;Couple with dependent children;Regional;Less than 10% of my time;Less than 10% of my time;Strongly agree;Strongly disagree;Strongly disagree;Neither positive nor negative;No;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Strongly disagree;Neither agree nor disagree;My productivity is about same when I work remotely
840;1996;Female;Between 1 and 5 years;Financial and Insurance;Single person;Metro;90%;100% - All of my time;Strongly agree;Strongly disagree;Neither agree nor disagree;Somewhat Positive;No;Significantly improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat worsened;Stayed about the same;Not a barrier for me;Somewhat improved;Not a barrier for me;Not a barrier for me;Somewhat improved;Somewhat improved;Somewhat improved;Lack of privacy;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;I知 30% more productive when working remotely
841;1986;Female;More than 5 years;Education and Training;Couple with dependent children;Regional;20%;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;Yes;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Difficulty collaborating with remote colleagues;Noisy work environment;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;I知 20% more productive when working remotely
842;1984;Female;More than 5 years;Health Care and Social Assistance;Couple with dependent children;Metro;Less than 10% of my time;50% - About half of my time;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat Positive;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 10% less productive when working remotely
843;1993;Female;Between 1 and 5 years;Professional, Scientific and Technical;Couple with no dependent children;Metro;40%;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Strongly disagree;Somewhat Positive;No;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat improved;Interruptions;Lack of privacy;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
844;2002;Male;More than 5 years;Accommodation and Food;Other one family household;Metro;Less than 10% of my time;Less than 10% of my time;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Significantly worsened;Somewhat worsened;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat worsened;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat worsened;Not a barrier for me;Significantly worsened;Significantly improved;Somewhat worsened;Stayed about the same;NA;NA;Somewhat disagree;Somewhat disagree;Strongly agree;My productivity is about same when I work remotely
845;1977;Female;More than 5 years;Administrative and Support;Couple with dependent children;Metro;70%;60%;Strongly agree;Somewhat agree;Somewhat agree;Neither positive nor negative;Yes;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Strongly agree;I知 30% more productive when working remotely
846;1998;Male;Between 1 and 5 years;Financial and Insurance;Couple with no dependent children;Metro;60%;100% - All of my time;Strongly agree;Somewhat agree;Strongly agree;Neither positive nor negative;Yes;Not a barrier for me;Somewhat improved;Significantly improved;Somewhat improved;Not a barrier for me;Significantly improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat improved;Significantly improved;Somewhat worsened;Significantly improved;Significantly improved;Significantly improved;Lack of privacy;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Strongly disagree;I知 30% less productive when working remotely
847;1981;Male;More than 5 years;Electricity, Gas, Water and Waste;Couple with no dependent children;Metro;20%;50% - About half of my time;Strongly agree;Strongly disagree;Somewhat agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Somewhat improved;Somewhat improved;Significantly worsened;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 40% more productive when working remotely
848;1970;Male;More than 5 years;Professional, Scientific and Technical;Other one family household;Regional;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Interruptions;Noisy work environment;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;My productivity is about same when I work remotely
849;1980;Male;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Metro;40%;60%;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither positive nor negative;Yes;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat worsened;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Strongly agree;Neither agree nor disagree;Somewhat agree;I知 20% more productive when working remotely
850;1972;Female;More than 5 years;Manufacturing;One parent family with dependent children;Metro;Less than 10% of my time;Less than 10% of my time;Somewhat agree;Neither agree nor disagree;Strongly agree;Neither positive nor negative;Yes;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Difficulty collaborating with remote colleagues;Noisy work environment;Neither agree nor disagree;Somewhat agree;Somewhat agree;I知 10% more productive when working remotely
851;1967;Male;More than 5 years;Education and Training;Single person;Regional;30%;20%;Strongly disagree;Neither agree nor disagree;Somewhat agree;Somewhat Negative;Yes;Not a barrier for me;Somewhat worsened;Somewhat worsened;Somewhat worsened;Significantly worsened;Stayed about the same;Significantly worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat improved;Significantly worsened;Not a barrier for me;Somewhat worsened;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Somewhat disagree;I知 20% more productive when working remotely
852;1958;Male;More than 5 years;Manufacturing;Couple with no dependent children;Regional;Less than 10% of my time;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither positive nor negative;No;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Somewhat worsened;Not a barrier for me;Stayed about the same;Stayed about the same;Somewhat improved;Not a barrier for me;Stayed about the same;Somewhat improved;Not a barrier for me;NA;NA;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
853;1998;Female;Between 6 and 12 months;Other Services;Couple with dependent children;Metro;10%;20%;Somewhat agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;NA;NA;Neither agree nor disagree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
854;1973;Male;More than 5 years;Public Administration and Safety;Single person;Metro;30%;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Negative;No;Somewhat improved;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat improved;Somewhat worsened;Stayed about the same;Interruptions;Lack of privacy;Somewhat disagree;Somewhat agree;Neither agree nor disagree;I知 20% less productive when working remotely
855;1983;Male;More than 5 years;Other Services;Couple with dependent children;Metro;20%;40%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Somewhat worsened;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Somewhat worsened;Significantly worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
856;1988;Female;Between 1 and 5 years;Health Care and Social Assistance;Couple with no dependent children;Metro;50% - I spent about half of my time remote working;90%;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Strongly Positive;Yes;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat improved;Somewhat worsened;Not a barrier for me;Not a barrier for me;Significantly improved;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly agree;Strongly agree;Somewhat disagree;I知 40% more productive when working remotely
857;1983;Male;More than 5 years;Education and Training;Couple with no dependent children;Metro;20%;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Positive;Yes;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
858;1993;Female;Between 1 and 5 years;Arts and Recreation;Group household;Metro;Rarely or never;I would not have preferred to work remotely;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Negative;No;Not a barrier for me;Not a barrier for me;Significantly improved;Somewhat improved;Somewhat worsened;Not a barrier for me;Not a barrier for me;Significantly worsened;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Not a barrier for me;Not a barrier for me;Stayed about the same;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat agree;Somewhat disagree;Strongly agree;I知 40% more productive when working remotely
859;1992;Male;Between 1 and 5 years;Other Services;One parent family with dependent children;Metro;10%;10%;Somewhat disagree;Somewhat agree;Somewhat agree;Somewhat Negative;Yes;Somewhat improved;Stayed about the same;Somewhat worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Stayed about the same;Significantly worsened;Stayed about the same;Significantly worsened;Somewhat improved;Stayed about the same;Somewhat worsened;Somewhat improved;Significantly worsened;Somewhat improved;Difficulty collaborating with remote colleagues;Interruptions;Somewhat disagree;Neither agree nor disagree;Strongly agree;I知 20% less productive when working remotely
860;1983;Female;Between 1 and 5 years;Other Services;Couple with no dependent children;Metro;Less than 10% of my time;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Strongly disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly improved;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Noisy work environment;Strongly agree;Strongly agree;Somewhat agree;My productivity is about same when I work remotely
861;1977;Male;Between 1 and 5 years;Information Media and Telecommunications;Single person;Metro;20%;20%;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Neither positive nor negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly worsened;Not a barrier for me;Significantly worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat worsened;Not a barrier for me;Significantly worsened;Not a barrier for me;Not a barrier for me;Interruptions;Noisy work environment;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;My productivity is about same when I work remotely
862;1992;Male;Between 6 and 12 months;Electricity, Gas, Water and Waste;Group household;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Strongly agree;Strongly agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Interruptions;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
